text,text_processed
Limpieza y amabilidad del personal bastante buena ,limpieza amabilidad personal bastante buena
Precios asequibles y para tener 3 Estrellas bastante acogedor,precios asequibles tener 3 estrellas bastante acogedor
"Tiene piscina y parking gratis, aunque no es vigilado",piscina parking gratis aunque no vigilado
El desayuno es aceptable,desayuno aceptable
Repetiré si visito Málaga y lo recomiendo,repetire visito malaga recomiendo
"Servicios, ubicación  y desaparición sin responsables",servicios ubicacion desaparicion sin responsables
"Es ideal para ir  con auto, te permite poder recorrer varias playas alrededor por su ubicación incluso ir hasta Gibraltar a pasar el día  volver, el estacionamiento es gratuito",ideal ir auto permite poder recorrer varias playas alrededor ubicacion incluso ir gibraltar pasar dia volver estacionamiento gratuito
"Muy buen desayuno, las habitaciones amplias lindas y cómodas",buen desayuno habitaciones amplias lindas comodas
"El único inconveniente que tuve que se perdió de mi habitación un cuello de viaje, al reclamarlo a la recepcionista, (una señorita  pelirroja de cabellos ondulados) me manifestó que no podía ser ",unico inconveniente perdio habitacion cuello viaje reclamarlo recepcionista senorita pelirroja cabellos ondulados manifesto no podia ser
"Al reclamar la restitución de la misma me manifestó que hablaría con la gente del lavadero, por si se fue con la ropa sucia, me retire del hotel volví a pedir el articulo en cuestión o el dinero para restituirlo , me solicito mi mail y  numero teléfono y dirección para contactarme o enviarme el articulo perdido o reintegrarme el dinero 10 euros,…",reclamar restitucion misma manifesto hablaria gente lavadero ropa sucia retire volvi pedir articulo cuestion dinero restituirlo solicito mail numero telefono direccion contactarme enviarme articulo perdido reintegrarme dinero 10 euros
No está mal,no mal
"La habitación es amplia y está bien equipada, el colchón era un poco blando y no muy grueso para mi gusto",habitacion amplia bien equipada colchon blando no grueso gusto
Tiene una piscina pequeña pero no está mal para refrescarse,piscina pequena no mal refrescarse
"La localización del hotel diría que es lo peor, si vienes a ver la ciudad de Málaga, esta zona no está muy bien comunicada y las vistas que nos tocaron también eran mejorables",localizacion diria peor vienes ver ciudad malaga zona no bien comunicada vistas tocaron mejorables
"No obstante, está bien si lo que se pretende es pasar la noche tranquila y cómodamente en un lugar limpio y con intimidad",no obstante bien pretende pasar noche tranquila comodamente lugar limpio intimidad
Cómoda estancia,comoda estancia
Dada la ubicación es obvio que escoger éste establecimiento es porque cuadra con el objetivo del viaje,dada ubicacion obvio escoger establecimiento cuadra objetivo viaje
"Dada por idónea la ubicación, el Hotel cumple perfectamente su función",dada idonea ubicacion cumple perfectamente funcion
"Habitación muy agradable, cuidada y limpia",habitacion agradable cuidada limpia
Baño cómodo y completo de servicios,bano comodo completo servicios
"Camas amplias y cómodas (incluso la almohada, que no es la típica super fina)",camas amplias comodas incluso almohada no tipica super fina
Al ser verano la piscina estaba abierta y da para un agradable baño,ser verano piscina abierta da agradable bano
"El desayuno, tienes opción tostada+bebida (por 3,5) o Buffet (por 5,95)",desayuno opcion tostada bebida 35 buffet 595
"El Buffet cuenta con varios tipos de panes, fruta variada, algo caliente y un poco de bolleria",buffet cuenta varios tipos panes fruta variada caliente bolleria
"No es un buffet muy completo, tiene variedad pero escasa",no buffet completo variedad escasa
"En general, la visita fue agradable",general visita agradable
"Estuvo bien, la ultima habitacion",bien ultima habitacion
Nos toco la ultima habitacion ya que estaba completo,toco ultima habitacion completo
Muy correcto,correcto
Amables y bien equipado,amables bien equipado
Con parking propio,parking propio
"La habitacion estaba muy confortable Nada negativo que reseñar, quiza el precio, aunque no es caro",habitacion confortable nada negativo resenar quiza precio aunque no caro
Sitio recomendable y diferente,sitio recomendable diferente
Suelo puntuar los alojamientos en base al precio que me toca pagar por ellos,suelo puntuar alojamientos base precio toca pagar
"Si pago poco, exijo lo mismo pero cuando pago bastante, (58 euros alguna noche), 68 euros otras, espero algo mas",pago exijo mismo pago bastante 58 euros alguna noche 68 euros espero
"Por ejemplo, tener el desayuno incluido y no tener que pagar por el aire acondicionado",ejemplo tener desayuno incluido no tener pagar aire acondicionado
"Este alojamiento es una villa preciosa a 10 minutos del centro de Malaga, la decoracion esta muy cuidada, con un estilo andaluz- arabe precioso, las plantas y las flores inundan la casa y es un placer despertarte en un entorno asi",alojamiento villa preciosa 10 minutos centro malaga decoracion cuidada estilo andaluz arabe precioso plantas flores inundan casa placer despertarte entorno asi
"La habitacion con baño en la que estuvimos en la primera planta era correcta, escasa decoracion pero una nevera muy practica",habitacion bano primera planta correcta escasa decoracion nevera practica
"Tambien disponen de una cocina para huespedes que hace que te sientas como en casa y me gusto que dieran la posibilidad de por 3 euros, poner una…",disponen cocina huespedes hace sientas casa gusto dieran posibilidad 3 euros poner
Para volver,volver
"El hostal es muy agradable, la ubicación muy buena, tranquila pero al lado del centro (20 minutos andando), bien comunicado con la estación con bus y el personal muy atento",hostal agradable ubicacion buena tranquila lado centro 20 minutos andando bien comunicado estacion bus personal atento
"La única pega, las habitaciones no están bien insonorizadas, así que si hay algún huésped ruidoso, se sufre",unica pega habitaciones no bien insonorizadas asi algun huesped ruidoso sufre
"Buen servicio, buenas habitaciones y muy limpio",buen servicio buenas habitaciones limpio
Da muy buen servicio,da buen servicio
Las habitaciones son amplias y la casa es muy bonita,habitaciones amplias casa bonita
"El servicio es un poco pequeño, pero está muy limpio",servicio pequeno limpio
El personal es muy amable y atento,personal amable atento
"Es un casa grande en la zona centro de Málaga, puedes ir andando a cualquier parte perfectamente",casa grande zona centro malaga puedes ir andando cualquier parte perfectamente
acojedor,acojedor
Hostal en una bonita casa antigua,hostal bonita casa antigua
Sencillo pero acogedor,sencillo acogedor
"Habitaciones bien acondicionadas, cama muy cómoda,con cuarto de baño algo pequeño, pero destacaria sobre todo la limpieza tanto del baño como de la habitación",habitaciones bien acondicionadas cama comodacon cuarto bano pequeno destacaria limpieza bano habitacion
Desayuno continental a muy buen precio en la terraza del hostal,desayuno continental buen precio terraza hostal
Personal muy educado y amable,personal educado amable
"bien situado, cerca del Santuario de la Victoria y a unos 15 minutos andando del centro",bien situado cerca santuario victoria 15 minutos andando centro
Magnifica relación calidad/precio,magnifica relacion calidad precio
Mejor de lo que parece,mejor parece
"Limpio, colchones buenos, aparcamiento privado, precio buenísimo y más, si vuelvo a malaga seguro que volveré a este  hostal sin ninguna duda buenos recepcionistas y rápido para entrar y salir me alegro de haberlo  escogido",limpio colchones buenos aparcamiento privado precio buenisimo vuelvo malaga seguro volvere hostal sin ninguna duda buenos recepcionistas rapido entrar salir alegro haberlo escogido
Buena opcion,buena opcion
Bien situado y comunicado,bien situado comunicado
Atención excelente,atencion excelente
Con aparcamiento gratuito si hay disponibilidad de plazas La habitación que nos tocó es muy amplia Cerca de tiendas y restaurantes,aparcamiento gratuito disponibilidad plazas habitacion toco amplia cerca tiendas restaurantes
Todo el personal muy amable y con ganas de agradar y ayudar,personal amable ganas agradar ayudar
Excelente,excelente
"Nos a gustado mucho este alojamiento por la buena atención de su personal, la limpieza de las habitaciones muy buena y en general todos los servicios que te hacen sentir como en casa",gustado alojamiento buena atencion personal limpieza habitaciones buena general servicios hacen sentir casa
Yo particularmente valoro mucho el cuidado y mantenimiento de las instalaciones ,particularmente valoro cuidado mantenimiento instalaciones
En fin lo recomiendo y seguro repetimos ,fin recomiendo seguro repetimos
comodidad y amabilidad,comodidad amabilidad
"hostal en buena relación calidad-precio, limpio, cómodo, personal amable y muy colaborador",hostal buena relacion calidad precio limpio comodo personal amable colaborador
Bien situado para ir al hospital carlos haya de Málaga,bien situado ir hospital carlos malaga
"La recepcionista Gema, muy bonita y profesional, aunque son buenos todos ellos",recepcionista gema bonita profesional aunque buenos
"ESTUPENDO HOSTAL, LIMPIO Y BUEN PRECIO",estupendo hostal limpio buen precio
"Justo frente al Hospital Regional de Málaga Carlos Haya, es´ta perfectamente ubicado para casos de urgencia y de estancias de familiares en el hospital",justo frente hospital regional malaga carlos ta perfectamente ubicado casos urgencia estancias familiares hospital
"Las habitaciones son austeras y correctas, están limpias y lo mejor de todo es el personal que atiende en recepción",habitaciones austeras correctas limpias mejor personal atiende recepcion
"Son todos encantadores y deseando ayudar, además de simpáticos, lo cual te hace la estancia mucho más agradable",encantadores deseando ayudar ademas simpaticos hace estancia agradable
Hostal sencillo pero bueno,hostal sencillo bueno
personal muy atentos limpio buen sitio tranquilo no es céntrico pero esta muy bien el precio bastante bien tienes autobuses que paran cerca poco ruido aunque pasan coches cerca no se escuchan mucho para pasar unas noches esta bien,personal atentos limpio buen sitio tranquilo no centrico bien precio bastante bien autobuses paran cerca ruido aunque pasan coches cerca no escuchan pasar unas noches bien
Buena relación calidad precio,buena relacion calidad precio
Fuimos 3 amigos a Málaga para la feria y nos alojamos en este hostal,3 amigos malaga feria alojamos hostal
Las camas son confortables y el hostal está limpio,camas confortables hostal limpio
"Otro punto a favor es que está justo al lado de varias paradas de autobús que te dejan en la feria, así como una parada de taxis",punto favor justo lado varias paradas autobus dejan feria asi parada taxis
"Hay un supermercado al lado del hostal que, creo que, es 24 horas",supermercado lado hostal creo 24 horas
"Además, hay un bar (Oña) al salir del hostal que es 100% recomendable para desayunar o tomar algo",ademas bar ona salir hostal 100 recomendable desayunar tomar
Dispone de Wifi gratis y en la recepción del hostal venden agua y café,dispone wifi gratis recepcion hostal venden agua cafe
"Una pega que tiene este hostal es que, al menos nuestra habitación, era muy húmeda",pega hostal menos habitacion humeda
La ropa de cama y la ropa personal estaban húmedas y con olor,ropa cama ropa personal humedas olor
"Otra pega que tiene es que la habitación se veía algo antigua, mobiliario y paredes con falta de una mano de pintura",pega habitacion veia antigua mobiliario paredes falta mano pintura
Muy buena relación calidad…,buena relacion calidad
Muy buen fin de semana,buen fin semana
El hotel está ubicado en un lugar estupendo,ubicado lugar estupendo
El ambiente rural y acogedor te invita a querer quedarte,ambiente rural acogedor invita querer quedarte
"La piscina es perfecta para refrescarte, relajarte y tomar el sol",piscina perfecta refrescarte relajarte tomar sol
"Pequeña pero bonita, acorde con el ambiente",pequena bonita acorde ambiente
Un punto a favor del hotel es que admiten mascotas,punto favor admiten mascotas
"Las habitaciones son básicas pero la verdad hemos dormido muy bien, sin necesidad de aire acondicionado",habitaciones basicas verdad dormido bien sin necesidad aire acondicionado
"Tanto el desayuno como la cena normales, quizás se podría mejorar",desayuno cena normales quizas podria mejorar
Cerca hay varias ventas para almorzar y cenar,cerca varias ventas almorzar cenar
"El personal muy atento y agradable, muy pendientes de que estés agusto pero he podido observar que tienen turnos demasiado largos y hay poco personal ( quizás no sea necesario más porque la afluencia de personas no es demasiada pero pienso que es mucho trabajo y muchas horas para poco personal)",personal atento agradable pendientes agusto podido observar turnos demasiado largos personal quizas no necesario afluencia personas no demasiada pienso trabajo muchas horas personal
Hay…,
Un hotel en plena naturaleza,plena naturaleza
Admiten a nuestras mascotas,admiten mascotas
Hay piscina pequeñita y lugar para tomar un té o café a media tarde en la terraza en plena naturaleza,piscina pequenita lugar tomar cafe media tarde terraza plena naturaleza
Se puede tomar un té o café sin necesidad de pernoctar,puede tomar cafe sin necesidad pernoctar
Ideal para amantes de la naturaleza!,ideal amantes naturaleza
Para mi fascinante,fascinante
"Estoy de acuerdo con algunas publicaciones que he leido, no es un hotel para los que gustan de los ruidos de los coches o de las grandes ciudades, es un sitio fascinante donde se huele a pino y a plantas de lavanda que hay nmucha plantada en el camino, donde se escucha los pajaros donde se acerca un zorro a la mesa y no se asusta porque nadie le hace daño, donde se ve los jabalies con sus crias comiendo tranquilos, donde se hace senderismo a quien le guste y donde de noche veo la via lactea con una claridad impresionante y se duerme del tiron, para mi la comida buenisima y bien preparada el trato muy bueno, buenos salones con chimenea estube porque me invito mi cuñada Pepi Gomez y me quede dos dias porque no podia mas pero seguro que volvere mas veces  felicidades a los…",acuerdo publicaciones leido no gustan ruidos coches grandes ciudades sitio fascinante huele pino plantas lavanda nmucha plantada camino escucha pajaros acerca zorro mesa no asusta nadie hace dano ve jabalies crias comiendo tranquilos hace senderismo guste noche veo via lactea claridad impresionante duerme tiron comida buenisima bien preparada trato bueno buenos salones chimenea estube invito cunada pepi gomez quede dos dias no podia seguro volvere veces felicidades
Estancia buena,estancia buena
"Se desayuna de 10, la atención de Juan María es de primera calidad le agredecemos todo lo que nos ayudó, los cuartos son normales al igual que el baño, aunque el wifi es intermitente, eso sí se encuentra en un lugar muy bonito de los Montes de Málaga",desayuna 10 atencion juan maria primera calidad agredecemos ayudo cuartos normales igual bano aunque wifi intermitente encuentra lugar bonito montes malaga
Viaje de Trabajo / Curso,viaje trabajo curso
Si deseas un hotel que las habitaciones sean acojedoras sin duda este es tu hotel,deseas habitaciones acojedoras sin duda
"Por motivos de trabajo estuve 3 días con mi compañía, la atención muy buena, recomendable para estancias cortas, volveremos",motivos trabajo 3 dias compania atencion buena recomendable estancias cortas volveremos
Mediaval,mediaval
Estuve  sólo un noxe,solo noxe
Pero el personal agradable,personal agradable
Limpio,limpio
a las afueras,afueras
calidad  precio muy bien,calidad precio bien
las habitaciones amplias y no le falta  detalle,habitaciones amplias no falta detalle
bien,bien
tiene parquink  gratuito,parquink gratuito
Tiene su encanto,encanto
volveria,volveria
Junto a la playa,junto playa
"El hotel se encuentra a 2 minutos caminando de la playa, para ir al centro tiene parada de bus justo al lado",encuentra 2 minutos caminando playa ir centro parada bus justo lado
"El personal es muy amable, las habitaciones son limpias y sencillas, el baño estaba nuevo, las camas son comodas",personal amable habitaciones limpias sencillas bano nuevo camas comodas
"Nos tocó una habitación al lado de recepción y era un poco ruidoso, aunque por la noche se descansa bien",toco habitacion lado recepcion ruidoso aunque noche descansa bien
El agua caliente de la ducha tarda en salir,agua caliente ducha tarda salir
Muy buena ubicación ,buena ubicacion
"El hotel está bastante bien calidad precio el baño tiene una minibañera pero el agua sale bastante caliente y con mucha fuerza así q te duchas en condiciones, por lo demás todo limpio y bien",bastante bien calidad precio bano minibanera agua sale bastante caliente mucha fuerza asi q duchas condiciones demas limpio bien
"Un detallazo el día que llegamos y nos encontramos una bandeja con dos torrijas puesto q estamos en semana Santa, no le pongo más puntuación porque pedimos cama doble  y nos han dado dos pequeñas ah y porque me ha faltado u a almohada más grande",detallazo dia llegamos encontramos bandeja dos torrijas puesto q semana santa no pongo puntuacion pedimos cama doble dado dos pequenas ah faltado u almohada grande
"Ubicación muy buena en la misma calle se coge el autobús nocturno y diurno para ir al centro y volver, y al bajar a la playa que está muy  cerca están todos los chiringuitos famosos de pedregalejo ",ubicacion buena misma calle coge autobus nocturno diurno ir centro volver bajar playa cerca chiringuitos famosos pedregalejo
Lo recomiendo si no buscáis grandes lujos,recomiendo no buscais grandes lujos
EXCELENTE,excelente
Muy buen hospedaje situado a dos cuadras de playa de Pedregalejo,buen hospedaje situado dos cuadras playa pedregalejo
A 400 mts de un gran market,400 mts gran market
Buen internet buena habitación y su cama,buen internet buena habitacion cama
La limpieza todos los días y cambio de blancos,limpieza dias cambio blancos
El centro a 15 minutos de bus 3 u 11,centro 15 minutos bus 3 u 11
Faltaría un frigobar,faltaria frigobar
La playa no son buenas,playa no buenas
Volveré,volvere
Acogedor ,acogedor
"Un hotel, tranquilo el trato muy familiar, limpieza buena, playa muy cerca ideal para familia con niños",tranquilo trato familiar limpieza buena playa cerca ideal familia ninos
"Chiringuitos con mucha variedad de platos de la zona y a buen precio, me encanto",chiringuitos mucha variedad platos zona buen precio encanto
Seguro que volvere,seguro volvere
Acogedor,acogedor
"Es un hotel pequeño, pero la habitación que nos dieron estaba muy bien",pequeno habitacion dieron bien
La relación calidad precio es bastante buena,relacion calidad precio bastante buena
"Situado en Málaga este, un barrio de origen pesquero, con infinidad de bares y restaurantes para degustar los productos típicos de la zona",situado malaga barrio origen pesquero infinidad bares restaurantes degustar productos tipicos zona
La playa se encuentra a dos manzanas del hotel,playa encuentra dos manzanas
"Está un poco lejos del centro histórico, pero con muy fácil acceso",lejos centro historico facil acceso
"La linea de autobús en la puerta, hay carril bici con unas estupendas vistas bordeando la costa, y si no caminando por el paseo, aunque con paciencia",linea autobus puerta carril bici unas estupendas vistas bordeando costa no caminando paseo aunque paciencia
"En definitiva, un lugar perfecto para conocer Málaga y sus alrededores",definitiva lugar perfecto conocer malaga alrededores
Muy buen lugar para conocer Málaga,buen lugar conocer malaga
Situado en uno de los mejores barrios de Málaga,situado mejores barrios malaga
Lugar residencial y tranquilo,lugar residencial tranquilo
Tardas 45 minutos andando en llegar al centro de la ciudad,tardas 45 minutos andando llegar centro ciudad
Puedes aparcar sin problema,puedes aparcar sin problema
"Tienes buenos lugares ,a pie de playa ,para comer y cenar ,se encuentran a cinco minutos del hotel",buenos lugares pie playa comer cenar encuentran cinco minutos
Recomendable,recomendable
"Nos hospedamos con una amiga en una habitación para seis personas mixta, que no era muy espaciosa, aunque cada uno tiene su locker para maletas",hospedamos amiga habitacion seis personas mixta no espaciosa aunque cada locker maletas
La habitación no cuenta con baño pero sí hay en los pisos,habitacion no cuenta bano pisos
Hay ascensor,ascensor
"El personal no es muy simpático, de hecho si no era porque nosotras les consultamos, no nos daban información de dónde estábamos y qué podíamos hacer en la ciudad",personal no simpatico hecho no consultamos no daban informacion podiamos hacer ciudad
"Ofrecen un desayuno de pago que está súper bien y completo, y por las noches dan sangría gratis, lo que está bueno para conocer gente",ofrecen desayuno pago super bien completo noches dan sangria gratis bueno conocer gente
"La ubicación está muy bien, porque se puede llegar caminando desde la estación de buses y trenes, y también se puede estar en diez minutos a pie en el centro",ubicacion bien puede llegar caminando estacion buses trenes puede diez minutos pie centro
"Hay otro hostel que es Feel Hostel City Center que está en pleno centro, pero por supuesto un poco más lejos…",hostel feel hostel city center pleno centro supuesto lejos
Para repetir,repetir
"Solo estuve una noche, pero repitiria sin dudar",solo noche repitiria sin dudar
El personal muy atento y un lugar muy acogedor,personal atento lugar acogedor
"Su localización es un punto muy a favor, ya que se encuentra cercano al centro y lugares que visitar",localizacion punto favor encuentra cercano centro lugares visitar
Un lugar para descansar y repetir,lugar descansar repetir
Excelente Ubicacion y Planta,excelente ubicacion planta
"Esta ubicado en un buen lugar, a 5 puedes llegar a la estacion del metro a unos 15 esta el museo picasso",ubicado buen lugar 5 puedes llegar estacion metro 15 museo picasso
El personal es amable y las instalaciones buenas,personal amable instalaciones buenas
En lo personal la recepcion y sala comun me gusto mucho,personal recepcion sala comun gusto
una semana de vacaciones,semana vacaciones
"todo bien y limpio, camas grandes y privadas pero se oye mucho ruido de vez en cuando",bien limpio camas grandes privadas oye ruido vez
el personal ayuda mucho y son muy amables,personal ayuda amables
esta ubicado cerca de todo turistico,ubicado cerca turistico
el desayuno cuesta solo dos euros!!!,desayuno cuesta solo dos euros
Buena ubicación y personal amable y atento,buena ubicacion personal amable atento
"Buena ubicación y buenas instalaciones, el personal fue siempre muy atento y los tips y recomendaciones fueron adecuadas para vivir de la mejor manera la ciudad",buena ubicacion buenas instalaciones personal siempre atento tips recomendaciones adecuadas vivir mejor manera ciudad
Tienen muy buenas actividades de integración para el que viaja solo y eso hace aún mejor la experiencia,buenas actividades integracion viaja solo hace aun mejor experiencia
"Un Hostal , lleno de encanto",hostal lleno encanto
"Lo visite , en diciembre y todo perfecto, el patio encantador lleno de planta que resulta muy acogedor y muy tranquilo",visite diciembre perfecto patio encantador lleno planta resulta acogedor tranquilo
La habitación normales pero comodas y limpias,habitacion normales comodas limpias
"Por poner una pega , comprendo que en diciembre los precios sean caro pero he querido visitarlo otra vez y los precios no cambia , para mi gusto un poco alto para la fecha en la que estamos y la categoría de hostal ",poner pega comprendo diciembre precios caro querido visitarlo vez precios no cambia gusto alto fecha categoria hostal
Por lo general ánimo a que lo visitéis,general animo visiteis
Acogedor y desayuno saludable,acogedor desayuno saludable
Buena relación precio/calidad y al ser un hostal cubrió con mis expectativas,buena relacion precio calidad ser hostal cubrio expectativas
MUy sencillo y limpio,sencillo limpio
Desayunos muy sanos !! y con fruta fresca,desayunos sanos fruta fresca
Mi habitación en la 1era planta y daba hacia el patio interior con lo cual era muy tranquila,habitacion 1era planta daba hacia patio interior tranquila
Ubicación cercana al mar aunque las playas de baja calidad y sucias,ubicacion cercana mar aunque playas baja calidad sucias
"Chiriguitos cerca, opciones para comer y buen ambiente nocturno",chiriguitos cerca opciones comer buen ambiente nocturno
Acogedor y dueños amables,acogedor duenos amables
"Fuimos con una caja regalo y nos dieron una habitación con hidromasaje, habitación pequeña pero bien para el precio, desayuno gratis abundante y bien preparado, dueños muy muy amables y está muy cerca de la playa!!",caja regalo dieron habitacion hidromasaje habitacion pequena bien precio desayuno gratis abundante bien preparado duenos amables cerca playa
Cerquita del mar y trato cercano,cerquita mar trato cercano
"El hostal lo lleva una pareja muy agradable, se trata de una antigua casa de barrio de pescadores, convertida a Hostal, lo cual le da un puntito de nostalgia",hostal lleva pareja agradable trata antigua casa barrio pescadores convertida hostal da puntito nostalgia
"la habitación es amplia y esta todo limpio, incluso hacen la habitación de un día para otro, lo cual es raro para ser un hostal",habitacion amplia limpio incluso hacen habitacion dia raro ser hostal
"El desayuno muy adecuado, aunque no se puede elegir, pero es casero y te lo preparan en el momento, un poco de todo y para todos los gustos",desayuno adecuado aunque no puede elegir casero preparan momento gustos
"Además cuentan con sombrillas, toallas, palas y balones que te dejan para ir a la playa, un punto extra",ademas cuentan sombrillas toallas palas balones dejan ir playa punto extra
"Un lugar muy agradable y recomendable, un hostal con encanto rústico marinero con unos dueños amables",lugar agradable recomendable hostal encanto rustico marinero duenos amables
"y se me olvidaba a 2 minutos andando de la playa, y justo al lado muy buena comunicación en bus con el centro",olvidaba 2 minutos andando playa justo lado buena comunicacion bus centro
Por precio y categoría inmejorable ,precio categoria inmejorable
Nos quedamos solo una noche,quedamos solo noche
La habitación era la suite que está en la terraza,habitacion suite terraza
Bien de tamaño y tiene una bañera de hidromasaje,bien tamano banera hidromasaje
El único pero es que la ventana no tiene estore y entra mucha luz y por la noche te ven si hay alguien cenando,unico ventana no estore entra mucha luz noche ven alguien cenando
El desayuno está incluido y te lo preparan los dueños,desayuno incluido preparan duenos
"Muy completo y rico con abundante fruta fresca, tostadas, aceite tomate, zumo, café",completo rico abundante fruta fresca tostadas aceite tomate zumo cafe
Los dueños muy amables,duenos amables
Repetiremos en otra ocasión,repetiremos ocasion
Un lugar con estulo,lugar estulo
Es una casona antigua transformada en hostal con una decoración muy peculiar que llamo nuestra atencion,casona antigua transformada hostal decoracion peculiar llamo atencion
"No es un gran hotel pero merece la pena por su tranquilidad, ubicación, buen trato y cuenta con todo lo necesario",no gran merece pena tranquilidad ubicacion buen trato cuenta necesario
Si huyes de las grandes moles hoteleras es tu sitio,huyes grandes moles hoteleras sitio
Nos ha encantado,encantado
Un fin de semana muy tranquilo,fin semana tranquilo
Fui a una boda y necesitaba de un lugar cerca donde se iba celebrar el evento,boda necesitaba lugar cerca iba celebrar evento
Tuvimos una buena impresión tras llegar porque nos dieron un mapa y nos explicaron lo que había por la zona y en el centro,buena impresion tras llegar dieron mapa explicaron zona centro
"El desayuno rico y sano, habitaciones limpias y ventanas grandes",desayuno rico sano habitaciones limpias ventanas grandes
Solo no me ha gustado el plato de ducha que era muy pequeño para mi,solo no gustado plato ducha pequeno
PEQUEÑA ESCAPADA EN UN RINCON DELICIOSO,pequena escapada rincon delicioso
"Hostal en la zona de Pedregalejo, un lugar familiar, coqueton, con el sabor de las casonas de pueblo, con propietarios atentos, dando confianza y facilidades desde el principio",hostal zona pedregalejo lugar familiar coqueton sabor casonas pueblo propietarios atentos dando confianza facilidades principio
"A nosotros nos tocó la habitación del patio, y no pudo ser mejor, era como una vivienda dentro de otra, recogida, con jacuzzi incluido, rodeada de plantas, sencilla pero agradable",toco habitacion patio no pudo ser mejor vivienda dentro recogida jacuzzi incluido rodeada plantas sencilla agradable
"El desayuno delicioso y las cenas, variadas cada noche, con productos de la zona y de la época",desayuno delicioso cenas variadas cada noche productos zona epoca
Todo como si estuvieses en la cocina de tu casa,cocina casa
experiencia recomendable,experiencia recomendable
Céntrico,centrico
"El hotel se encuentra en un lugar céntrico y permite recorrer los distintos lugares en pequeñas caminatas, lo único que señalaría como algo a mejorar es que no posee estacionamiento y resulta dificultoso para quienes vamos en vehículo",encuentra lugar centrico permite recorrer distintos lugares pequenas caminatas unico senalaria mejorar no posee estacionamiento resulta dificultoso vamos vehiculo
Corta estancia en Los Naranjos,corta estancia naranjos
"Es un hotel que tiene una ubicación muy céntrica, se puede tener suerte de aparcar en la calle y Dino cuenta con aparcamiento pago",ubicacion centrica puede tener suerte aparcar calle dino cuenta aparcamiento pago
Hay buen servicio de limpieza y cuenta con un personal de recepción muy atento,buen servicio limpieza cuenta personal recepcion atento
Lo recomendamos,recomendamos
Buen hotel muy bien hubicado,buen bien hubicado
Hotel bueno para el precio que se paga,bueno precio paga
Cerca de la playa y del centro también,cerca playa centro
El personal bastante simpático y atencioso para lo que se necesite,personal bastante simpatico atencioso necesite
Una opción interesante fue ir por el dia al Peñon de Gibraltar y Marbella pero lo ideal es que vean la posibilidad de ir a Tanger por 2 días,opcion interesante ir dia penon gibraltar marbella ideal vean posibilidad ir tanger 2 dias
Entre el centro y la Playa,centro playa
"Muy buena ubicación, a una cuadra de Playa La Caleta, ya que Málaga es una ciudad con un centro muy activo, con parada de autobús casi en el frente",buena ubicacion cuadra playa caleta malaga ciudad centro activo parada autobus casi frente
"Muy buena atención, habitación espaciosa",buena atencion habitacion espaciosa
"Recomendable, volvería",recomendable volveria
Hotel bueno para una escapada ,bueno escapada
"Me alojé en este hotel dos días y lo recomiendo para visitar la ciudad cómodamente, bien comunicado con el centro de Málaga y la estación de AVE",aloje dos dias recomiendo visitar ciudad comodamente bien comunicado centro malaga estacion ave
Habitaciones cómodas y limpias,habitaciones comodas limpias
Desayuno tipo bufet completo,desayuno tipo bufet completo
Cerca de Malaga en bus y de la playa,cerca malaga bus playa
"Hotel cercano a la playa (se puede ir andando 5 minutos), tiene parking y la habitación es amplia, así como el baño",cercano playa puede ir andando 5 minutos parking habitacion amplia asi bano
Al lado de parada de bus al centro (comodísimo),lado parada bus centro comodisimo
Mejor parking porque en la calle el estacionamiento es de pago,mejor parking calle estacionamiento pago
Estuvimos en julio y nos alojamos mi pareja y yo,julio alojamos pareja
"Nos dieron una habitación de la tercera planta con una terraza muy maja y vistas a la calle (ruidosa y mucho, eso si)",dieron habitacion tercera planta terraza maja vistas calle ruidosa
"La cama comfortable, el baño amplio y con baldas para poder dejar las cosas (muy necesarias)",cama comfortable bano amplio baldas poder dejar cosas necesarias
Todo muy limpio,limpio
"La habitación tiene nevera, no enfría demasiado pero ahí esta",habitacion nevera no enfria demasiado ahi
Servicio de wifi (aunque yo con mi Iphone no pude conectarme ni una sola vez) y televisión,servicio wifi aunque iphone no pude conectarme sola vez television
Llevabamos media pensión con desayuno,llevabamos media pension desayuno
"El desayuno era sencillo (bollería, fruta, embutido, yogures, leche, te,…",desayuno sencillo bolleria fruta embutido yogures leche
Fui afortunado,afortunado
"Me dieron, creo, la mejor habitación, en la última planta, viendo el mar",dieron creo mejor habitacion ultima planta viendo mar
La recepción funciona muy bien y el trato fue correcto y amable en todo momento,recepcion funciona bien trato correcto amable momento
Habitación de dimensiones aceptables pero extrañamente distribuida,habitacion dimensiones aceptables extranamente distribuida
Muy buen Hotel,buen
Es un Hotel muy bueno para la relación precio calidad con unas habitaciones sencillas pero muy acogedoras y con todo mo que tiene que tener una persona para sentirse cómodo y descansar tranquilo y muy limpias,bueno relacion precio calidad unas habitaciones sencillas acogedoras mo tener persona sentirse comodo descansar tranquilo limpias
"El personal muy amable y cerca de la Estación de tren de María Zambrano, recomendable y además un sencillo pero bueno bufette desayuno",personal amable cerca estacion tren maria zambrano recomendable ademas sencillo bueno bufette desayuno
Tranquilo,tranquilo
